stop_id,stop_name,location_type,wheelchair_boarding
1778,Mcintyre/Mcbrine,0,2
1779,222 Mcintyre Dr.,0,2
1780,Mcintyre/Trillium,0,2
1781,Trillium/Washburn,0,2
1782,Trillium/Huron Natural Area,0,1
1783,680 Trillium Dr.,0,2
1784,Trillium/Mcbrine,0,2
1785,Trillium/Strasburg,0,2
1786,Trillium/Shoemaker,0,1
1787,Trillium/Adam Ferrie,0,1
1788,Trillium/Steckle,0,1
1792,Trillium/Steckle,0,2
1793,Trillium/Adam Ferrie,0,2
1794,Trillium/Shoemaker,0,2
1804,Strasburg/Mcintyre,0,1
1805,Strasburg/Trillium,0,1
1806,Strasburg/Battler,0,1
1807,Strasburg/Huron Heights Secondary School,0,1
1808,Strasburg/Huron,0,1
1809,Battler/Old Huron,0,1
1810,Old Huron/Maxwell,0,2
1811,Biehn/Carlyle,0,2
1812,Biehn/Maxwell,0,2
1820,Black Walnut/Biehn,0,1
1821,Black Walnut/Black Walnut Pl.,0,1
1822,Black Walnut/Pioneer,0,1
1823,Bechtel/Doon Village,0,1
1824,Pioneer/Pioneer Park Plaza,0,1
1826,100 Old Carriage Dr.,0,1
1827,Old Carriage/Homer Watson,0,1
1828,Old Carriage/Homer Watson,0,1
1829,100 Old Carriage Dr.,0,1
1830,Old Carriage/Pioneer Park Plaza,0,1
1831,Bechtel/Doon Village,0,1
1832,Black Walnut/Pioneer,0,1
1833,Black Walnut/Carlyle,0,1
1834,Black Walnut/Biehn,0,1
1835,Biehn/Carlyle,0,1
1836,Biehn/Old Huron,0,1
1837,Old Huron/Maxwell,0,1
1838,Old Huron/Battler,0,2
1839,Huron/Strasburg,0,1
1840,Strasburg/Huron Heights Secondary School,0,1
1841,Strasburg/Battler,0,2
1842,Strasburg/Trillium,0,1
1844,Strasburg/Mcintyre,0,1
1845,Strasburg/Shoemaker,0,1
1846,Bleams/Century Hill,0,1
1847,Bleams/Homer Watson,0,2
1848,Bleams/Otonabee,0,2
1849,Bleams/Manitou,0,1
1850,Manitou/Webster,0,1
1851,Fairway/Manitou,0,1
1852,589 Fairway Rd. S.,0,2
1853,Fairway/Wilson,0,2
1854,Fairway/Wilson,0,2
1855,500 Fairway Rd. S.,0,1
1856,Fairway/Manitou,0,1
1857,Manitou/Courtland,0,1
1858,Manitou/Cress,0,1
1859,Homer Watson/Doon Village,0,1
1860,Manitou/Bleams,0,1
1861,Bleams/Otonabee,0,1
1862,Bleams/Homer Watson,0,2
1863,Bleams/Century Hill,0,1
1864,Strasburg/Bleams,0,1
1865,Strasburg/Old Country,0,1
1866,163 Thaler Ave.,0,1
1867,Homer Watson/Doon South,0,1
1868,Homer Watson/Doon South,0,1
1870,Weber/Kinzie,0,1
1871,Weber/Fergus,0,1
1872,Weber/Arlington,0,1
1873,Weber/Franklin,0,1
1874,Weber/Euler,0,1
1875,Weber/Wilfred,0,1
1876,Weber/Ross,0,1
1878,King/Montgomery,0,1
1880,King/Rockway Centre,0,1
1881,King/Sydney,0,1
1882,King/Ottawa,0,1
1883,King/Borden,0,1
1884,King/Stirling,0,1
1885,King/Pandora,0,1
1886,King/Cameron,0,1
1887,King/Kitchener Market,0,1
1888,Frederick Station (King/Frederick),0,1
1889,King/Queen,0,1
1890,King/Ontario,0,1
1891,King/College,0,1
1892,King/Francis,0,1
1893,Central Station,0,1
1896,King/Wellington,0,1
1897,King/Agnes,0,1
